"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",11009,50679,29168,42364,38518,42304,38518,13322
"2",3684,55460,33085,42365,38519,42303,8948,27904
"3",11008,38674,48088,42366,38517,42369,8952,18391
"4",3685,44876,38020,51787,38520,42322,8949,8948
"5",11010,48317,48087,51788,38516,35040,1089,8952
"6",11007,38679,33038,51789,38524,39575,8951,8949
"7",3683,38682,10323,42367,38523,35041,8950,8951
"8",14443,38681,31733,51790,38521,23934,3686,1089
"9",3686,41820,22847,50838,9955,21815,14444,8950
"10",14444,38683,52941,51791,38525,25259,3683,3686
"11",10993,38687,42062,51793,38522,19395,14443,14444
"12",14442,38680,38768,51792,6024,25250,11007,3683
"13",11006,38691,42057,39572,174,22121,11010,14443
"14",36221,38688,17255,42383,7758,19407,3685,11007
"15",1089,38686,21306,42386,38515,20850,3684,11010
"16",36222,38677,42892,50839,8818,25256,11008,3685
"17",10994,38684,37044,42379,9926,22115,11009,3684
"18",10992,38685,54881,39573,42167,28413,38519,11008
"19",8950,29749,38022,42384,9925,38518,38517,11009
"20",13107,41974,38023,42385,8817,21811,38520,14581
"21",8951,48315,45194,51794,23883,38519,37634,26948
"22",24933,24485,4519,42368,8819,38517,37633,20298
"23",8949,38690,14952,42349,36653,25223,38516,11536
"24",13108,31743,23970,42378,11947,38520,38524,42426
"25",8952,48414,10322,42304,14597,38516,38523,3818
"26",8948,51950,4273,1552,2144,52228,51578,22730
"27",38518,38692,4524,42348,52901,52229,37629,38518
"28",8953,54914,14951,1553,5435,38524,38521,31331
"29",38519,55673,25344,42324,9775,26967,38522,51644
"30",38517,54915,52969,42347,4049,26971,42167,34615
"31",38520,37183,42056,1551,173,38523,38525,22731
"32",8947,52040,19956,42345,51428,20847,51577,22729
"33",38516,54986,50673,42346,13018,20843,23868,18556
"34",38524,38711,47423,30444,23898,21810,21733,51645
"35",38523,41968,28637,39574,13016,21818,174,38519
"36",38521,41977,45390,42303,9927,25254,52863,34616
"37",8954,24496,45392,42323,38526,21814,38515,5913
"38",38525,41976,33041,42369,9826,26970,30724,31332
"39",38522,32966,27593,30443,13017,20839,37628,51646
"40",174,32967,45786,42377,23884,25258,42166,20980
"41",38515,38708,50679,34684,51427,20846,39331,42662
"42",42167,26112,17886,1554,1537,52230,37632,22732
"43",5142,41960,47998,30445,9956,20818,173,22733
"44",3817,41972,42893,7008,1435,20838,38526,51647
"45",5710,37178,21256,42295,1436,19403,51644,31329
"46",5709,31737,55460,42322,5945,22120,51645,38517
"47",17441,50646,4523,42376,7757,20851,51643,51648
"48",27904,24499,50677,42409,34582,25257,34616,34617
"49",34613,38678,23972,42410,42810,20844,18557,22738
"50",34617,39181,54982,35040,9924,19400,16658,21695
"51",14581,41950,52962,42408,10651,20821,51646,34614
"52",34612,39645,27452,42411,5707,30642,34618,22737
"53",34616,41973,21295,35041,36440,26975,16659,26788
"54",34615,28920,14953,42397,53921,35362,22730,11745
"55",11980,52242,50606,42398,23897,20817,51647,26890
"56",5711,52240,14490,42407,9928,38521,37630,22728
"57",34611,52241,38770,39575,1535,21813,18556,10843
"58",34614,41978,26112,42391,9825,20149,22729,11309
"59",11750,52243,4112,35056,13023,42,22731,26888
"60",3469,41822,38769,42406,9929,52231,16657,22734
"61",32857,50799,21303,42396,53197,19399,34615,42661
"62",9816,50653,54923,35057,5436,30647,17051,26889
"63",39331,44822,40981,42412,1745,20852,40707,9817
"64",34618,48411,44816,42399,9824,19404,38514,22736
"65",1858,48480,55598,42405,11937,28415,40210,18555
"66",1857,31736,28582,42296,9408,25229,39332,15954
"67",11981,50654,14954,35055,3653,22088,22737,18563
"68",31330,32968,40544,34358,31449,20820,14707,6738
"69",9957,48089,55461,42302,5852,35360,22728,10842
"70",42166,39175,44880,35058,1852,30650,18558,22735
"71",1399,38703,26113,42321,23896,52250,18555,18559
"72",53445,4573,1477,42404,23885,52232,22732,11744
"73",9815,28944,39201,42395,3654,26968,27703,51643
"74",3868,50785,55599,42370,53117,52233,22738,17742
"75",5712,44867,39166,35059,9823,30643,22733,51651
"76",11751,38697,21296,1555,1536,52234,17052,6563
"77",31331,48296,35661,42320,1434,21809,51642,26608
"78",25049,39646,21302,35039,3306,30651,27739,26504
"79",53199,52244,38761,35042,11938,35363,55796,20979
"80",36655,50652,51805,30446,1538,52251,16656,40660
"81",1400,50655,27451,39576,7711,22087,21500,26682
"82",173,50689,17863,39577,14598,25226,51648,53417
"83",52902,33161,40946,39578,9407,19408,10743,36809
"84",38526,42001,48389,42317,12837,19402,54116,26733
"85",18559,54866,27592,52230,11946,26939,13676,15910
"86",32858,48297,29153,52229,11948,26972,39021,7910
"87",9817,33189,48239,52231,3650,28837,53968,12859
"88",54019,38699,41906,52250,5946,45,34605,15939
"89",55666,51957,14470,52232,14212,20848,21732,31328
"90",27891,48295,39151,52233,5307,52249,25945,23100
"91",53428,54271,21301,52234,37786,52235,22736,12858
"92",5914,41893,47453,52251,37549,38522,22513,53862
"93",18560,42000,12813,52249,4048,26265,39100,15990
"94",3836,44138,27806,52235,3652,23868,22734,41325
"95",37634,52239,28531,52248,1855,25253,10946,10742
"96",22730,22191,33044,52236,23895,24498,38477,19012
"97",31329,4564,50605,52247,21377,25228,16149,18562
"98",41618,53465,21297,52252,417,38525,18563,6562
"99",23102,50656,29154,52237,3305,35359,34606,15952
"100",34583,41980,39996,52246,5318,20822,3821,18245
