"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","13203","25631","25631","52851","9369","52851","9371","9371"
"2","5992","54914","36111","3187","37330","3187","9370","9370"
"3","9369","54915","13053","3341","40834","3341","9369","9369"
"4","33293","28729","36110","49606","9378","49606","9378","9378"
"5","13202","41099","36279","13771","6388","13771","3992","9384"
"6","9370","25630","32366","2468","7649","2468","13875","37303"
"7","33291","45397","13542","3188","4012","3188","9384","3992"
"8","32837","41098","13538","28849","35431","28849","13203","13875"
"9","9368","21309","36109","30348","9384","30348","32837","12513"
"10","37330","36111","42772","49595","32300","49595","5992","6389"
"11","5073","36110","13072","13892","43181","13892","33291","10155"
"12","35848","13053","42754","1167","37587","1167","6388","5805"
"13","12865","42754","42771","28850","4709","28850","37330","6007"
"14","6004","43709","42800","30333","9370","30333","37303","6388"
"15","8009","42800","13456","43625","32837","43625","12513","9680"
"16","12625","13538","43709","52852","13186","52852","31832","10156"
"17","8872","36109","13050","3257","13139","16436","5805","31832"
"18","9371","13456","42770","16436","9699","3257","9680","14176"
"19","4029","42770","36916","319","15424","319","6011","32837"
"20","9128","13072","36917","2735","9997","2735","6010","11779"
"21","6387","36916","43704","507","12865","507","10155","6010"
"22","13201","36917","36915","33603","9841","33603","4771","37330"
"23","33297","36279","42753","35477","9697","35477","6389","9698"
"24","13875","9029","32367","3245","10153","3245","11779","33291"
"25","12064","42748","9029","22104","26255","22104","33293","10154"
"26","9378","13050","42755","26927","18272","26927","12865","6011"
"27","31806","43704","42748","2709","6011","2709","10154","4042"
"28","3991","24981","42749","35479","41757","35479","6007","31027"
"29","9397","42755","24981","13899","31832","13899","7649","43181"
"30","6388","32366","13051","32","31479","32","43181","13203"
"31","9695","36288","2181","22095","10154","22095","14176","5992"
"32","35865","13051","42990","30350","31815","30350","9841","4771"
"33","9699","13539","36108","2935","4771","2935","10156","13470"
"34","8871","2177","2176","2710","70","2710","9698","31046"
"35","14250","42990","13539","829","4766","829","14175","31044"
"36","4012","42769","36288","1125","43027","1125","32249","9841"
"37","3992","42747","42750","2738","33327","2738","31046","14175"
"38","5957","9028","836","2736","9695","2736","9127","7649"
"39","35740","36108","1183","3441","9127","3441","29893","31026"
"40","9384","42760","2177","1124","40571","13865","14223","29908"
"41","9702","32367","42769","13865","6387","1124","4042","32355"
"42","37587","13543","42747","43401","8009","43401","29908","37420"
"43","31815","1183","43703","2249","4029","2249","4029","9127"
"44","9389","2180","13543","2456","33293","2456","10153","6724"
"45","9693","8076","42801","52659","14175","52659","9699","31025"
"46","32300","42799","9028","3203","33291","3203","26255","12865"
"47","5084","42798","2180","30349","37342","30349","18272","13259"
"48","15424","871","42760","26318","5805","26318","13470","32249"
"49","7649","42801","1184","26317","9219","26317","35740","9800"
"50","14223","1184","8076","2708","13201","2708","31027","10153"
"51","33327","13457","42799","35478","14223","49473","4012","13507"
"52","7890","13544","42798","49473","5717","35478","6724","14172"
"53","13186","42740","871","1972","37303","43534","13507","30743"
"54","14275","8057","8057","43534","5084","1972","13186","18272"
"55","6011","36287","13457","2452","41751","2452","31026","6425"
"56","32824","13518","24982","3255","33504","19362","70","9697"
"57","8862","35260","36868","19362","32355","3255","33327","51378"
"58","39731","42768","41096","3142","29893","3142","6425","26255"
"59","3485","43708","8130","3045","9696","3045","32355","3668"
"60","7943","43703","13544","30332","14283","30332","30743","29893"
"61","33504","836","36287","24683","21354","24683","35866","14223"
"62","4771","42746","13518","41876","7943","41876","37420","4709"
"63","9147","8409","42740","13716","35740","3132","9697","31481"
"64","9841","2178","8400","52853","38081","13716","51378","35741"
"65","42716","36284","42768","3132","20892","52853","40834","33293"
"66","37324","42761","36284","26315","42707","26315","4709","20928"
"67","70","36286","43708","13844","42716","13844","31044","32886"
"68","37342","2179","24854","41010","4688","41010","4766","35866"
"69","9066","36285","36286","2711","9680","1146","15424","4065"
"70","11755","33897","36285","1146","31046","2711","9694","5717"
"71","40834","1815","42746","15064","13875","15064","35865","19322"
"72","28300","10571","8409","42529","35866","56","32300","31002"
"73","14249","42767","2178","56","11779","42529","35431","35431"
"74","8698","14117","33897","2451","37309","2451","5717","4766"
"75","4034","13458","14117","15065","6775","15065","37587","6491"
"76","13395","36283","2179","43044","14265","43044","3668","13186"
"77","11446","42762","42761","35697","39717","11155","9800","32353"
"78","35949","1816","32368","3116","10604","3116","31025","13466"
"79","9997","32368","42756","11155","9210","35697","8009","9304"
"80","10604","27993","36283","2742","13393","2742","6387","35740"
"81","19413","13545","42991","40037","10155","40037","13201","3955"
"82","10153","42991","1815","1967","30125","1967","8872","9219"
"83","32435","41096","42767","2461","13203","3258","19322","4041"
"84","35876","42766","24817","3258","12513","2461","14283","6784"
"85","12549","42745","13458","43626","35949","21494","35876","70"
"86","38313","21746","24954","33602","13161","33602","13259","13139"
"87","20313","24954","42762","21494","6010","43626","6784","9699"
"88","55946","46438","1816","3049","9686","3049","13393","9210"
"89","41751","45933","13545","7081","14250","7081","13139","14283"
"90","31479","42763","8374","3261","42705","3261","14172","28457"
"91","15425","42765","21746","3143","13506","7072","35741","4029"
"92","4725","42463","42745","57","24592","3143","15224","40834"
"93","49489","3751","42766","15098","36155","57","5073","42706"
